gss_code,leisure_density,wardname,leisurecount,fastfood_density,fastfoodcount,alcohol_density,alcoholcount,beverages_density,beveragescount,confectionery_density,confectionerycount,convenience_density,conveniencecount,departmentstore_density,departmentstorecount,farm_density,farmcount,greengrocer_density,greengrocercount,grocery_density,grocerycount,mall_density,mallcount,supermarket_density,supermarketcount,health_density,health_rate_parcent
E05000107,1.21E-07,Biggin Hill,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,1.21E-07,1,7.25E-07,7.2
E05000108,3.61E-07,Bromley Common and Keston,3,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,1.20E-07,1,7.22E-07,7.2
E05000109,5.38E-07,Bromley Town,2,2.96E-06,11,2.69E-07,1,5.38E-07,2,2.69E-07,1,5.38E-07,2,2.69E-07,1,2.69E-07,1,2.69E-07,1,2.69E-07,1,2.69E-07,1,8.07E-07,3,2.15E-06,8.470588235
E05000110,1.59E-07,Chelsfield and Pratts Bottom,2,7.96E-08,1,7.96E-08,1,7.96E-08,1,7.96E-08,1,6.37E-07,8,7.96E-08,1,7.96E-08,1,7.96E-08,1,7.96E-08,1,7.96E-08,1,7.96E-08,1,4.78E-07,6.5
E05000111,9.58E-08,Chislehurst,1,9.58E-08,1,9.58E-08,1,9.58E-08,1,9.58E-08,1,1.92E-07,2,9.58E-08,1,9.58E-08,1,9.58E-08,1,9.58E-08,1,9.58E-08,1,9.58E-08,1,5.75E-07,7
E05000112,1.32E-06,Clock House,3,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,4.41E-07,1,2.65E-06,7.2
E05000113,6.08E-07,Copers Cope,2,1.22E-06,4,3.04E-07,1,3.04E-07,1,3.04E-07,1,9.13E-07,3,3.04E-07,1,3.04E-07,1,3.04E-07,1,3.04E-07,1,3.04E-07,1,9.13E-07,3,2.43E-06,8.8
E05000114,6.78E-07,Cray Valley East,9,7.53E-07,10,7.53E-08,1,7.53E-08,1,7.53E-08,1,6.78E-07,9,7.53E-08,1,7.53E-08,1,7.53E-08,1,7.53E-08,1,7.53E-08,1,1.51E-07,2,5.27E-07,7.318181818
E05000115,5.08E-07,Cray Valley West,2,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,2.54E-07,1,1.52E-06,7.2
E05000116,6.55E-06,Crystal Palace,15,4.36E-07,1,4.36E-07,1,4.36E-07,1,4.36E-07,1,8.73E-07,2,4.36E-07,1,4.36E-07,1,4.36E-07,1,4.36E-07,1,4.36E-07,1,4.36E-07,1,2.62E-06,7
